# Run number 05 on Tue May 28 15:52:25 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.3	 45.0	 44.1	 25.7	 26.6	 26.9	 27.7	 27.1	 26.7	 0.277	 7.308	 6.815
    1.5	 45.0	 44.1	 25.7	 26.6	 26.9	 27.7	 27.2	 26.7	 0.277	 7.308	 6.836
    2.3	 45.0	 44.2	 25.6	 26.5	 26.9	 27.7	 27.1	 26.7	 0.272	 7.308	 6.815
    3.2	 45.0	 44.5	 25.5	 26.5	 26.9	 27.7	 27.1	 26.7	 0.277	 7.308	 6.815
    4.0	 44.9	 44.6	 25.6	 26.5	 26.9	 27.7	 27.1	 26.7	 0.273	 7.308	 6.815
    4.9	 44.9	 44.7	 25.6	 26.5	 26.8	 27.7	 27.1	 26.6	 0.276	 7.308	 6.815
    5.7	 44.9	 44.7	 25.6	 26.5	 26.8	 27.7	 27.1	 26.6	 0.281	 7.308	 6.795
    6.5	 44.9	 44.8	 25.6	 26.5	 26.8	 27.7	 27.1	 26.6	 0.270	 7.308	 6.795
    7.3	 44.8	 44.8	 25.5	 26.5	 26.8	 27.7	 27.0	 26.6	 0.280	 7.308	 6.795
    8.2	 44.8	 44.8	 25.5	 26.5	 26.8	 27.7	 27.0	 26.5	 0.279	 7.308	 6.795
    9.0	 44.8	 44.8	 25.6	 26.4	 26.8	 27.7	 27.0	 26.6	 0.278	 7.287	 6.795
    9.8	 44.8	 44.8	 25.6	 26.3	 26.8	 27.7	 27.0	 26.6	 0.275	 7.287	 6.795
   10.6	 44.8	 44.8	 25.6	 26.4	 26.8	 27.7	 27.0	 26.5	 0.278	 7.287	 6.775
   11.5	 44.8	 44.8	 25.6	 26.4	 26.8	 27.7	 27.0	 26.5	 0.270	 7.287	 6.775
   12.3	 44.8	 44.8	 25.7	 26.3	 26.8	 27.7	 27.0	 26.5	 0.270	 7.287	 6.754
   13.2	 44.8	 44.8	 25.8	 26.4	 26.8	 27.7	 26.9	 26.4	 0.266	 7.287	 6.775
   14.0	 44.8	 44.8	 25.8	 26.4	 26.7	 27.7	 26.9	 26.4	 0.275	 7.287	 6.775
   14.8	 44.8	 44.8	 25.8	 26.4	 26.7	 27.7	 26.9	 26.4	 0.273	 7.287	 6.754
   15.6	 44.8	 44.8	 25.8	 26.4	 26.7	 27.7	 26.9	 26.4	 0.274	 7.287	 6.754
   16.5	 44.8	 44.7	 25.7	 26.3	 26.7	 27.7	 26.8	 26.3	 0.280	 7.287	 6.754
   17.3	 44.8	 44.7	 25.8	 26.4	 26.7	 27.7	 26.8	 26.3	 0.286	 7.267	 6.754
   18.2	 44.8	 44.7	 25.8	 26.4	 26.6	 27.6	 26.8	 26.3	 0.278	 7.328	 6.754
   19.0	 44.8	 44.7	 25.8	 26.3	 26.6	 27.6	 26.8	 26.3	 0.275	 7.267	 6.754
   19.8	 44.8	 44.7	 25.8	 26.3	 26.6	 27.6	 26.8	 26.3	 0.274	 7.287	 6.754
   20.6	 44.8	 44.7	 25.8	 26.3	 26.6	 27.6	 26.8	 26.3	 0.278	 7.267	 6.754
   21.5	 44.8	 44.7	 25.7	 26.3	 26.6	 27.6	 26.7	 26.2	 0.280	 7.267	 6.754
   22.3	 44.8	 44.7	 25.8	 26.3	 26.6	 27.6	 26.7	 26.2	 0.277	 7.267	 6.754
   23.2	 44.8	 44.7	 25.7	 26.3	 26.6	 27.6	 26.7	 26.2	 0.277	 7.267	 6.754
   24.0	 44.7	 44.7	 25.7	 26.3	 26.5	 27.6	 26.7	 26.2	 0.276	 7.267	 6.734
   24.9	 44.7	 44.6	 25.7	 26.3	 26.5	 27.6	 26.7	 26.2	 0.275	 7.267	 6.734
   25.7	 44.7	 44.6	 25.7	 26.3	 26.5	 27.6	 26.6	 26.1	 0.273	 7.267	 6.734
   26.6	 44.7	 44.6	 25.7	 26.2	 26.5	 27.5	 26.6	 26.1	 0.277	 7.267	 6.734
   27.4	 44.7	 44.6	 25.8	 26.2	 26.5	 27.5	 26.6	 26.1	 0.280	 7.246	 6.734
   28.3	 44.7	 44.6	 25.8	 26.2	 26.5	 27.6	 26.6	 26.1	 0.276	 7.267	 6.734
   29.1	 44.7	 44.6	 25.8	 26.2	 26.5	 27.6	 26.6	 26.1	 0.280	 7.267	 6.734
   30.0	 44.6	 44.6	 25.8	 26.2	 26.5	 27.6	 26.6	 26.1	 0.283	 7.267	 6.734
   30.8	 44.6	 44.7	 25.8	 26.2	 26.5	 27.6	 26.6	 26.0	 0.278	 7.267	 6.734
   31.7	 44.6	 44.6	 25.8	 26.2	 26.4	 27.5	 26.5	 26.0	 0.268	 7.246	 6.713
   32.5	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.5	 26.0	 0.275	 7.267	 6.713
   33.3	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.5	 26.0	 0.273	 7.246	 6.713
   34.2	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.5	 26.0	 0.273	 7.246	 6.713
   35.0	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.5	 25.9	 0.286	 7.246	 6.713
   35.8	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.4	 25.9	 0.280	 7.226	 6.693
   36.7	 44.6	 44.6	 25.7	 26.2	 26.4	 27.5	 26.4	 25.9	 0.278	 7.246	 6.713
   37.5	 44.6	 44.6	 25.7	 26.1	 26.4	 27.5	 26.4	 25.9	 0.280	 7.246	 6.713
   38.4	 44.6	 44.5	 25.6	 26.2	 26.4	 27.5	 26.4	 25.9	 0.285	 7.246	 6.713
