# Run number 02 on Fri May  3 15:32:35 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P1	P2
    1.2	 22.3	 22.2	 20.0	 22.4	 21.4	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
    1.4	 22.3	 22.2	 20.0	 22.4	 21.4	 21.7	 21.3	 21.3	-0.001	 6.033	 6.033
    2.2	 22.3	 22.2	 20.0	 22.4	 21.4	 21.7	 21.3	 21.3	-0.000	 6.033	 6.054
    2.9	 22.3	 22.2	 20.0	 22.4	 21.3	 21.7	 21.3	 21.3	-0.001	 6.013	 6.033
    3.7	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.054
    4.4	 22.4	 22.2	 20.0	 22.4	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.033
    5.2	 22.4	 22.2	 20.0	 22.4	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.033
    5.9	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
    6.7	 22.3	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.033
    7.5	 22.4	 22.2	 20.0	 22.3	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
    8.2	 22.3	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.000	 6.033	 6.054
    9.0	 22.3	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.054
    9.7	 22.4	 22.2	 20.0	 22.3	 21.4	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
   10.5	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	-0.000	 6.033	 6.033
   11.2	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.054
   12.0	 22.4	 22.2	 20.0	 22.2	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
   12.7	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
   13.5	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.054
   14.3	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	-0.001	 6.033	 6.033
   15.0	 22.3	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.033
   15.8	 22.4	 22.2	 20.0	 22.2	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
   16.5	 22.3	 22.1	 20.0	 22.1	 21.4	 21.7	 21.4	 21.3	-0.000	 6.013	 6.033
   17.3	 22.3	 22.1	 20.0	 22.0	 21.4	 21.7	 21.3	 21.3	-0.000	 6.013	 6.033
   18.1	 22.3	 22.2	 20.0	 22.0	 21.3	 21.6	 21.3	 21.3	-0.001	 6.013	 6.054
   18.9	 22.4	 22.2	 20.0	 21.9	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
   19.6	 22.4	 22.2	 20.0	 21.9	 21.4	 21.7	 21.3	 21.3	-0.001	 6.013	 6.054
   20.4	 22.4	 22.2	 20.0	 21.9	 21.3	 21.7	 21.3	 21.3	-0.000	 6.013	 6.054
   21.2	 22.4	 22.2	 20.0	 21.9	 21.3	 21.7	 21.3	 21.3	-0.001	 6.013	 6.054
   22.0	 22.4	 22.2	 20.0	 22.0	 21.4	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
   22.8	 22.4	 22.2	 20.0	 22.0	 21.4	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
   23.5	 22.4	 22.2	 20.0	 22.1	 21.3	 21.6	 21.3	 21.3	-0.000	 6.013	 6.033
   24.3	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	-0.001	 6.013	 6.033
   25.1	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	 0.149	 6.013	 6.033
   25.9	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	 0.140	 6.013	 6.033
   26.6	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	 0.139	 6.013	 6.054
   27.4	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	 0.139	 6.013	 6.033
   28.2	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	 0.137	 6.013	 6.033
   28.9	 22.4	 22.2	 20.0	 22.2	 21.3	 21.6	 21.3	 21.3	 0.135	 6.033	 6.054
   29.7	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.3	 0.134	 6.033	 6.054
   30.4	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.2	 0.134	 6.033	 6.054
   31.2	 22.4	 22.2	 20.0	 22.3	 21.3	 21.6	 21.3	 21.2	 0.139	 6.033	 6.033
   32.0	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.2	 0.137	 6.033	 6.033
   32.7	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.136	 6.013	 6.054
   33.5	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.142	 6.033	 6.054
   34.2	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.139	 6.033	 6.054
   35.0	 22.4	 22.3	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.136	 6.013	 6.033
   35.8	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.136	 6.033	 6.033
   36.5	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.2	 0.135	 6.033	 6.033
   37.3	 22.4	 22.2	 20.0	 22.4	 21.3	 21.6	 21.3	 21.2	 0.134	 6.013	 6.054
   38.0	 22.4	 22.3	 20.0	 22.4	 21.3	 21.6	 21.3	 21.3	 0.133	 6.013	 6.033
