# Run number 05 on Fri May 10 13:13:23 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.3	 48.2	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.7	 0.135	16.173	 4.925
    1.6	 48.2	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.7	 0.136	16.173	 4.925
    2.4	 48.2	 56.8	 20.0	 20.0	 20.6	 75.9	 52.6	 17.7	 0.133	16.276	 4.946
    3.3	 48.2	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.7	 0.136	16.255	 4.925
    4.1	 48.2	 56.8	 20.0	 20.0	 20.7	 75.8	 52.6	 17.7	 0.135	16.173	 4.946
    4.9	 48.1	 56.8	 20.0	 20.0	 20.7	 75.8	 52.6	 17.7	 0.133	16.173	 4.946
    5.7	 48.2	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.8	 0.132	16.112	 4.946
    6.6	 48.1	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.8	 0.128	16.071	 4.946
    7.4	 48.1	 56.8	 20.0	 20.0	 20.7	 75.9	 52.7	 17.8	 0.131	16.235	 4.946
    8.2	 48.1	 56.8	 20.0	 20.0	 20.7	 75.9	 52.7	 17.8	 0.132	16.276	 4.966
    9.0	 48.1	 56.8	 20.0	 20.0	 20.8	 75.9	 52.7	 17.9	 0.134	16.091	 4.966
    9.9	 48.1	 56.8	 20.0	 20.0	 20.7	 75.9	 52.7	 17.9	 0.132	16.132	 4.966
   10.6	 48.1	 56.8	 20.0	 20.0	 20.7	 75.9	 52.6	 17.9	 0.137	16.153	 4.966
   11.5	 48.1	 56.8	 20.0	 20.0	 20.6	 75.8	 52.6	 17.9	 0.133	16.173	 4.966
   12.3	 48.1	 56.8	 20.0	 20.0	 20.6	 75.8	 52.6	 17.9	 0.136	16.112	 4.966
   13.1	 48.1	 56.8	 20.0	 20.0	 20.5	 75.8	 52.6	 17.9	 0.138	16.112	 4.946
   13.9	 48.0	 56.8	 20.0	 20.0	 20.4	 75.8	 52.6	 17.9	 0.132	16.194	 4.946
   14.8	 48.0	 56.8	 20.0	 20.0	 20.4	 75.8	 52.6	 18.0	 0.140	16.214	 4.946
   15.6	 48.0	 56.8	 20.0	 20.0	 20.3	 75.9	 52.6	 18.0	 0.132	16.051	 4.946
   16.4	 48.0	 56.7	 20.0	 20.0	 20.2	 75.9	 52.6	 18.0	 0.132	16.051	 4.946
   17.2	 48.0	 56.7	 20.0	 20.0	 20.1	 75.9	 52.6	 18.0	 0.130	16.091	 4.966
   18.1	 48.0	 56.7	 20.0	 20.0	 19.9	 75.9	 52.6	 18.1	 0.133	16.091	 4.946
   18.9	 48.0	 56.7	 20.0	 20.0	 19.7	 75.8	 52.6	 18.1	 0.136	16.153	 4.966
   19.7	 48.0	 56.7	 20.0	 20.0	 19.6	 75.8	 52.5	 18.1	 0.136	16.194	 4.986
   20.5	 48.0	 56.7	 20.0	 20.0	 19.5	 75.8	 52.6	 18.1	 0.139	16.051	 4.986
   21.4	 48.0	 56.7	 20.0	 20.0	 19.3	 75.8	 52.6	 18.1	 0.137	16.235	 4.986
   22.2	 48.0	 56.7	 20.0	 20.0	 19.2	 75.8	 52.6	 18.2	 0.136	16.112	 4.986
   23.0	 48.0	 56.6	 20.0	 20.0	 19.1	 75.8	 52.6	 18.2	 0.135	16.091	 4.986
   23.8	 48.0	 56.7	 20.0	 20.0	 18.9	 75.8	 52.6	 18.2	 0.140	16.153	 5.007
   24.7	 48.0	 56.7	 20.0	 20.0	 18.6	 75.7	 52.6	 18.2	 0.140	16.194	 4.986
   25.4	 47.9	 56.7	 20.0	 20.0	 18.4	 75.7	 52.6	 18.2	 0.133	16.235	 5.007
   26.3	 47.9	 56.7	 20.0	 20.0	 17.9	 75.7	 52.6	 18.3	 0.130	16.214	 4.986
   27.1	 47.9	 56.7	 20.0	 20.0	 16.7	 75.6	 52.6	 18.3	 0.140	16.091	 5.007
   28.0	 47.9	 56.6	 20.0	 20.0	 16.5	 75.6	 52.6	 18.3	 0.130	16.051	 5.027
   28.7	 47.9	 56.6	 20.0	 20.0	 16.5	 75.6	 52.6	 18.3	 0.136	16.235	 5.027
   29.6	 47.9	 56.7	 20.0	 20.0	 16.4	 75.6	 52.6	 18.4	 0.132	16.255	 5.027
   30.4	 47.9	 56.7	 20.0	 20.0	 16.4	 75.5	 52.5	 18.3	 0.135	16.194	 5.027
   31.2	 47.9	 56.7	 20.0	 20.0	 16.4	 75.5	 52.5	 18.3	 0.134	16.153	 5.007
   32.0	 47.9	 56.7	 20.0	 20.0	 16.4	 75.4	 52.5	 18.3	 0.136	16.194	 5.007
   32.9	 47.9	 56.6	 20.0	 20.0	 16.3	 75.4	 52.4	 18.3	 0.132	16.214	 5.027
   33.7	 47.9	 56.7	 20.0	 20.0	 16.2	 75.4	 52.4	 18.2	 0.132	16.051	 5.007
   34.5	 47.9	 56.7	 20.0	 20.0	 16.2	 75.4	 52.4	 18.2	 0.135	16.255	 5.007
