# Run number 04 on Tue May 21 15:38:50 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.2	 42.0	 40.0	 23.6	 22.6	 29.6	 51.7	 36.7	 24.9	 0.116	 7.675	 7.693
    1.4	 42.0	 40.0	 23.6	 22.6	 29.6	 51.7	 36.7	 25.0	 0.118	 7.675	 7.693
    2.2	 42.0	 40.3	 23.6	 22.5	 29.5	 51.6	 36.7	 25.2	 0.128	 7.675	 7.693
    2.9	 42.0	 40.3	 23.6	 22.5	 29.4	 51.6	 36.6	 25.3	 0.127	 7.675	 7.693
    3.7	 42.0	 40.4	 23.6	 22.5	 29.4	 51.4	 36.6	 25.4	 0.115	 7.696	 7.714
    4.4	 42.0	 40.5	 23.6	 22.5	 29.4	 51.4	 36.6	 25.5	 0.128	 7.696	 7.714
    5.2	 42.0	 40.5	 23.6	 22.5	 29.4	 51.3	 36.6	 25.7	 0.121	 7.696	 7.714
    5.9	 42.0	 40.6	 23.6	 22.5	 29.3	 51.2	 36.5	 25.8	 0.126	 7.696	 7.714
    6.7	 42.0	 40.6	 23.6	 22.5	 29.3	 51.2	 36.5	 25.9	 0.128	 7.696	 7.714
    7.4	 42.0	 40.7	 23.7	 22.5	 29.3	 51.1	 36.5	 26.0	 0.129	 7.716	 7.714
    8.2	 42.0	 40.7	 23.7	 22.6	 29.2	 51.0	 36.4	 26.1	 0.123	 7.716	 7.734
    8.9	 41.9	 40.7	 23.7	 22.6	 29.2	 50.9	 36.4	 26.2	 0.120	 7.716	 7.734
    9.7	 42.0	 40.8	 23.7	 22.7	 29.2	 50.9	 36.4	 26.3	 0.124	 7.716	 7.734
   10.5	 42.0	 40.9	 23.7	 22.8	 29.2	 50.8	 36.4	 26.3	 0.120	 7.716	 7.734
   11.2	 41.9	 40.9	 23.8	 22.8	 29.2	 50.7	 36.3	 26.4	 0.121	 7.737	 7.734
   12.0	 41.9	 40.9	 24.0	 22.8	 29.2	 50.6	 36.3	 26.5	 0.120	 7.716	 7.734
   12.7	 41.9	 40.9	 24.0	 22.8	 29.2	 50.6	 36.3	 26.6	 0.117	 7.737	 7.755
   13.5	 41.9	 40.9	 23.9	 22.7	 29.1	 50.5	 36.2	 26.6	 0.123	 7.716	 7.755
   14.2	 41.9	 41.0	 24.0	 22.6	 29.1	 50.5	 36.2	 26.7	 0.116	 7.737	 7.755
   15.0	 41.8	 41.0	 24.0	 22.6	 29.1	 50.4	 36.2	 26.7	 0.123	 7.737	 7.755
   15.7	 41.8	 41.0	 24.0	 22.6	 29.1	 50.3	 36.2	 26.8	 0.121	 7.737	 7.755
   16.5	 41.8	 41.0	 24.0	 22.6	 29.1	 50.3	 36.1	 26.9	 0.118	 7.737	 7.755
   17.2	 41.8	 41.0	 24.1	 22.5	 29.1	 50.2	 36.1	 26.9	 0.125	 7.737	 7.755
   18.0	 41.8	 41.0	 24.3	 22.5	 29.1	 50.1	 36.1	 27.0	 0.117	 7.737	 7.775
   18.8	 41.7	 41.0	 24.3	 22.5	 29.1	 50.0	 36.1	 27.0	 0.120	 7.737	 7.755
   19.5	 41.7	 41.1	 24.2	 22.5	 29.1	 50.0	 36.0	 27.1	 0.128	 7.737	 7.775
   20.3	 41.7	 41.1	 24.1	 22.5	 29.1	 49.9	 36.0	 27.2	 0.129	 7.757	 7.775
   21.1	 41.7	 41.0	 24.0	 22.4	 29.1	 49.9	 36.0	 27.3	 0.116	 7.737	 7.775
   21.8	 41.7	 41.1	 24.0	 22.5	 29.1	 49.9	 36.0	 27.3	 0.125	 7.716	 7.775
   22.6	 41.6	 41.1	 24.0	 22.5	 29.1	 49.8	 35.9	 27.4	 0.126	 7.737	 7.775
   23.3	 41.6	 41.0	 24.1	 22.5	 29.1	 49.7	 35.9	 27.4	 0.123	 7.757	 7.775
   24.1	 41.6	 41.0	 24.1	 22.6	 29.1	 49.7	 35.9	 27.5	 0.127	 7.757	 7.775
   24.9	 41.6	 41.0	 24.0	 22.7	 29.1	 49.6	 35.9	 27.6	 0.128	 7.737	 7.775
   25.6	 41.6	 41.0	 24.0	 22.7	 29.1	 49.6	 35.8	 27.6	 0.123	 7.757	 7.775
   26.4	 41.6	 41.1	 24.2	 22.7	 29.1	 49.5	 35.8	 27.6	 0.124	 7.757	 7.775
   27.2	 41.6	 41.0	 24.0	 22.7	 29.1	 49.4	 35.8	 27.7	 0.126	 7.757	 7.775
   27.9	 41.6	 41.0	 24.0	 22.7	 29.1	 49.4	 35.7	 27.7	 0.123	 7.757	 7.795
   28.7	 41.6	 41.1	 24.1	 22.8	 29.1	 49.3	 35.7	 27.8	 0.126	 7.757	 7.795
