# Run number 02 on Thu May 30 16:50:20 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.3	 45.3	 56.8	 25.1	 22.3	 20.7	 77.1	 54.0	 18.0	 0.276	17.012	 5.007
    1.5	 45.3	 56.8	 25.1	 22.3	 20.7	 77.1	 54.0	 18.0	 0.276	17.012	 5.007
    2.3	 45.3	 56.9	 25.0	 22.4	 20.7	 77.1	 54.1	 18.1	 0.278	17.196	 5.007
    3.2	 45.3	 56.9	 25.0	 22.4	 20.7	 77.1	 54.1	 18.1	 0.282	17.135	 5.007
    4.0	 45.3	 56.9	 24.9	 22.3	 20.8	 77.1	 54.1	 18.1	 0.279	17.012	 5.007
    4.9	 45.3	 56.9	 24.8	 22.4	 20.8	 77.1	 54.1	 18.1	 0.267	16.971	 5.027
    5.7	 45.3	 56.8	 24.7	 22.4	 20.8	 77.1	 54.1	 18.1	 0.274	17.094	 5.027
    6.5	 45.3	 56.9	 24.7	 22.3	 20.7	 77.1	 54.1	 18.2	 0.277	17.135	 5.027
    7.3	 45.3	 56.9	 24.8	 22.4	 20.7	 77.1	 54.1	 18.2	 0.280	17.032	 5.027
    8.2	 45.3	 56.9	 24.7	 22.6	 20.7	 77.1	 54.1	 18.2	 0.277	17.094	 5.027
    9.0	 45.3	 56.9	 24.7	 22.5	 20.7	 77.1	 54.1	 18.2	 0.276	17.155	 5.027
    9.9	 45.3	 56.9	 24.6	 22.4	 20.7	 77.1	 54.1	 18.3	 0.279	17.053	 5.027
   10.7	 45.3	 56.9	 24.6	 22.3	 20.7	 77.1	 54.2	 18.3	 0.276	17.073	 5.007
   11.5	 45.3	 56.9	 24.7	 22.3	 20.6	 77.1	 54.2	 18.3	 0.270	17.073	 5.027
   12.3	 45.3	 56.9	 24.6	 22.3	 20.6	 77.1	 54.1	 18.4	 0.278	17.094	 5.027
   13.2	 45.3	 56.9	 24.6	 22.3	 20.6	 77.2	 54.2	 18.4	 0.272	17.135	 5.027
   14.0	 45.3	 56.9	 24.6	 22.2	 20.6	 77.2	 54.2	 18.4	 0.271	17.155	 5.027
   14.9	 45.3	 56.9	 24.6	 22.2	 20.5	 77.2	 54.2	 18.4	 0.280	17.298	 5.027
   15.7	 45.3	 56.9	 24.5	 22.1	 20.5	 77.2	 54.2	 18.5	 0.274	16.991	 5.048
   16.5	 45.3	 56.9	 24.5	 22.4	 20.4	 77.2	 54.1	 18.5	 0.267	17.073	 5.027
   17.4	 45.3	 56.9	 24.5	 22.5	 20.4	 77.2	 54.2	 18.5	 0.282	17.094	 5.048
   18.2	 45.3	 56.9	 24.4	 22.3	 20.2	 77.2	 54.2	 18.5	 0.275	16.991	 5.048
   19.1	 45.3	 56.8	 24.4	 22.4	 20.2	 77.2	 54.2	 18.6	 0.277	17.298	 5.048
   19.9	 45.3	 56.8	 24.4	 22.3	 20.2	 77.2	 54.2	 18.6	 0.269	17.094	 5.048
   20.7	 45.3	 56.9	 24.4	 22.3	 20.0	 77.2	 54.2	 18.6	 0.280	17.135	 5.048
   21.6	 45.3	 56.9	 24.4	 22.5	 19.9	 77.2	 54.2	 18.7	 0.271	17.155	 5.027
   22.4	 45.3	 56.9	 24.5	 22.4	 19.8	 77.2	 54.2	 18.7	 0.267	17.135	 5.027
   23.3	 45.3	 56.9	 24.5	 22.3	 19.4	 77.2	 54.2	 18.6	 0.264	17.053	 5.027
   24.1	 45.3	 56.9	 24.5	 22.4	 19.1	 77.2	 54.2	 18.7	 0.264	17.073	 5.027
   25.0	 45.3	 56.9	 24.4	 22.5	 18.7	 77.2	 54.2	 18.7	 0.269	17.094	 5.048
   25.8	 45.3	 56.9	 24.6	 22.4	 17.3	 77.2	 54.2	 18.7	 0.279	17.114	 5.048
   26.6	 45.3	 56.9	 24.6	 22.5	 16.9	 77.2	 54.2	 18.7	 0.276	17.176	 5.068
   27.4	 45.3	 56.9	 24.6	 22.3	 16.7	 77.2	 54.2	 18.7	 0.274	17.012	 5.068
   28.3	 45.3	 56.9	 24.6	 22.2	 16.6	 77.2	 54.2	 18.8	 0.269	17.012	 5.068
   29.1	 45.3	 56.9	 24.7	 22.3	 16.6	 77.1	 54.2	 18.8	 0.271	17.196	 5.089
   30.0	 45.3	 56.9	 24.7	 22.3	 16.6	 77.1	 54.2	 18.8	 0.274	17.257	 5.068
   30.8	 45.3	 56.9	 24.9	 22.3	 16.6	 77.1	 54.2	 18.8	 0.286	17.237	 5.068
   31.6	 45.3	 56.9	 24.9	 22.3	 16.5	 77.1	 54.2	 18.8	 0.273	17.216	 5.048
   32.4	 45.3	 56.9	 24.9	 22.4	 16.4	 77.0	 54.2	 18.8	 0.275	17.176	 5.068
   33.3	 45.3	 56.9	 24.9	 22.5	 16.4	 77.0	 54.2	 18.8	 0.276	17.094	 5.068
   34.1	 45.3	 56.9	 24.8	 22.6	 16.4	 77.0	 54.2	 18.8	 0.276	17.155	 5.068
   35.0	 45.3	 57.0	 24.8	 22.5	 16.3	 77.0	 54.2	 18.8	 0.273	17.196	 5.068
   35.8	 45.3	 57.0	 24.8	 22.5	 16.3	 76.9	 54.1	 18.8	 0.270	17.114	 5.048
   36.6	 45.3	 57.0	 24.8	 22.5	 16.2	 76.9	 54.1	 18.7	 0.278	17.073	 5.048
   37.5	 45.3	 57.0	 24.9	 22.7	 16.2	 76.8	 54.1	 18.7	 0.269	17.094	 5.048
   38.3	 45.3	 57.0	 24.8	 22.7	 16.1	 76.8	 54.1	 18.7	 0.275	17.135	 5.048
   39.1	 45.3	 57.0	 24.7	 22.7	 16.1	 76.8	 54.1	 18.6	 0.275	17.339	 5.048
   40.0	 45.3	 57.0	 24.6	 22.4	 16.1	 76.8	 54.0	 18.6	 0.269	17.257	 5.068
   40.8	 45.3	 57.0	 24.6	 22.4	 16.0	 76.8	 54.0	 18.6	 0.277	17.176	 5.027
   41.6	 45.3	 57.0	 24.6	 22.5	 16.0	 76.8	 54.0	 18.6	 0.272	17.196	 5.027
   42.4	 45.3	 57.0	 24.6	 22.4	 16.0	 76.7	 54.0	 18.5	 0.271	17.237	 5.027
   43.3	 45.3	 57.0	 24.8	 22.6	 16.0	 76.7	 53.9	 18.5	 0.274	17.135	 5.027
   44.1	 45.3	 57.0	 24.8	 22.5	 16.0	 76.7	 53.9	 18.5	 0.277	17.135	 5.027
   45.0	 45.3	 57.1	 24.8	 22.5	 16.0	 76.7	 53.8	 18.5	 0.276	17.278	 5.007
   45.8	 45.3	 57.1	 24.8	 22.6	 16.0	 76.7	 53.8	 18.4	 0.277	17.196	 5.007
   46.6	 45.3	 57.1	 24.7	 22.4	 16.0	 76.6	 53.7	 18.4	 0.278	17.237	 5.007
   47.5	 45.3	 57.1	 24.7	 22.2	 16.0	 76.6	 53.7	 18.4	 0.271	17.216	 5.007
   48.3	 45.3	 57.1	 24.6	 22.1	 16.0	 76.6	 53.6	 18.3	 0.282	17.114	 5.007
   49.1	 45.3	 57.1	 24.5	 22.3	 16.0	 76.5	 53.6	 18.3	 0.280	17.155	 4.986
   50.0	 45.3	 57.1	 24.5	 22.3	 15.9	 76.5	 53.6	 18.3	 0.270	17.216	 4.986
   50.8	 45.3	 57.1	 24.7	 22.3	 15.9	 76.5	 53.5	 18.3	 0.274	17.216	 4.986
