	 P (Pa) 	 T (deg C) 	 sf (kJ/kg.K) 	 sg (kJ/kg.K) 	 hf (kJ/kg.K) 	 hg (kJ/kg.K)
	    389.56 	   -103.30 	      0.41 	      1.96 	     71.45 	    334.94 
	    393.18 	   -103.22 	      0.41 	      1.96 	     71.55 	    334.99 
	    396.84 	   -103.13 	      0.41 	      1.96 	     71.65 	    335.04 
	    400.53 	   -103.05 	      0.41 	      1.96 	     71.75 	    335.08 
	    404.25 	   -102.97 	      0.41 	      1.96 	     71.85 	    335.13 
	    408.01 	   -102.89 	      0.42 	      1.96 	     71.94 	    335.18 
	    411.80 	   -102.80 	      0.42 	      1.96 	     72.04 	    335.23 
	    415.63 	   -102.72 	      0.42 	      1.96 	     72.14 	    335.28 
	    419.49 	   -102.64 	      0.42 	      1.96 	     72.24 	    335.32 
	    423.39 	   -102.55 	      0.42 	      1.96 	     72.34 	    335.37 
	    427.32 	   -102.47 	      0.42 	      1.96 	     72.44 	    335.42 
	    431.30 	   -102.39 	      0.42 	      1.96 	     72.54 	    335.47 
	    435.30 	   -102.30 	      0.42 	      1.96 	     72.63 	    335.52 
	    439.35 	   -102.22 	      0.42 	      1.96 	     72.73 	    335.57 
	    443.43 	   -102.14 	      0.42 	      1.96 	     72.83 	    335.61 
	    447.55 	   -102.05 	      0.42 	      1.96 	     72.93 	    335.66 
	    451.71 	   -101.97 	      0.42 	      1.96 	     73.03 	    335.71 
	    455.91 	   -101.88 	      0.42 	      1.96 	     73.13 	    335.76 
	    460.15 	   -101.80 	      0.42 	      1.96 	     73.23 	    335.81 
	    464.43 	   -101.72 	      0.42 	      1.95 	     73.33 	    335.86 
	    468.74 	   -101.63 	      0.42 	      1.95 	     73.43 	    335.91 
	    473.10 	   -101.55 	      0.42 	      1.95 	     73.53 	    335.95 
	    477.50 	   -101.46 	      0.43 	      1.95 	     73.63 	    336.00 
	    481.94 	   -101.38 	      0.43 	      1.95 	     73.73 	    336.05 
	    486.41 	   -101.29 	      0.43 	      1.95 	     73.83 	    336.10 
	    490.94 	   -101.21 	      0.43 	      1.95 	     73.93 	    336.15 
	    495.50 	   -101.12 	      0.43 	      1.95 	     74.03 	    336.20 
	    500.10 	   -101.04 	      0.43 	      1.95 	     74.13 	    336.25 
	    504.75 	   -100.95 	      0.43 	      1.95 	     74.23 	    336.30 
	    509.44 	   -100.87 	      0.43 	      1.95 	     74.33 	    336.35 
	    514.18 	   -100.78 	      0.43 	      1.95 	     74.44 	    336.40 
	    518.96 	   -100.70 	      0.43 	      1.95 	     74.54 	    336.45 
	    523.78 	   -100.61 	      0.43 	      1.95 	     74.64 	    336.50 
	    528.65 	   -100.53 	      0.43 	      1.95 	     74.74 	    336.55 
	    533.56 	   -100.44 	      0.43 	      1.95 	     74.84 	    336.60 
	    538.52 	   -100.35 	      0.43 	      1.95 	     74.94 	    336.65 
	    543.53 	   -100.27 	      0.43 	      1.95 	     75.04 	    336.70 
	    548.58 	   -100.18 	      0.43 	      1.95 	     75.15 	    336.75 
	    553.68 	   -100.10 	      0.43 	      1.95 	     75.25 	    336.80 
	    558.82 	   -100.01 	      0.44 	      1.95 	     75.35 	    336.85 
	    564.02 	    -99.92 	      0.44 	      1.95 	     75.45 	    336.90 
	    569.26 	    -99.84 	      0.44 	      1.94 	     75.56 	    336.95 
	    574.55 	    -99.75 	      0.44 	      1.94 	     75.66 	    337.00 
	    579.89 	    -99.66 	      0.44 	      1.94 	     75.76 	    337.05 
	    585.28 	    -99.58 	      0.44 	      1.94 	     75.86 	    337.10 
	    590.72 	    -99.49 	      0.44 	      1.94 	     75.97 	    337.15 
	    596.21 	    -99.40 	      0.44 	      1.94 	     76.07 	    337.20 
	    601.75 	    -99.32 	      0.44 	      1.94 	     76.17 	    337.25 
	    607.34 	    -99.23 	      0.44 	      1.94 	     76.28 	    337.30 
	    612.99 	    -99.14 	      0.44 	      1.94 	     76.38 	    337.35 
	    618.69 	    -99.05 	      0.44 	      1.94 	     76.48 	    337.40 
	    624.44 	    -98.97 	      0.44 	      1.94 	     76.59 	    337.45 
	    630.24 	    -98.88 	      0.44 	      1.94 	     76.69 	    337.51 
	    636.10 	    -98.79 	      0.44 	      1.94 	     76.79 	    337.56 
	    642.01 	    -98.70 	      0.44 	      1.94 	     76.90 	    337.61 
	    647.98 	    -98.62 	      0.44 	      1.94 	     77.00 	    337.66 
	    654.00 	    -98.53 	      0.45 	      1.94 	     77.11 	    337.71 
	    660.08 	    -98.44 	      0.45 	      1.94 	     77.21 	    337.76 
	    666.21 	    -98.35 	      0.45 	      1.94 	     77.32 	    337.81 
	    672.40 	    -98.26 	      0.45 	      1.94 	     77.42 	    337.87 
	    678.65 	    -98.17 	      0.45 	      1.94 	     77.53 	    337.92 
	    684.96 	    -98.09 	      0.45 	      1.94 	     77.63 	    337.97 
	    691.33 	    -98.00 	      0.45 	      1.94 	     77.74 	    338.02 
	    697.75 	    -97.91 	      0.45 	      1.93 	     77.84 	    338.07 
	    704.24 	    -97.82 	      0.45 	      1.93 	     77.95 	    338.13 
	    710.78 	    -97.73 	      0.45 	      1.93 	     78.05 	    338.18 
	    717.39 	    -97.64 	      0.45 	      1.93 	     78.16 	    338.23 
	    724.06 	    -97.55 	      0.45 	      1.93 	     78.26 	    338.28 
	    730.79 	    -97.46 	      0.45 	      1.93 	     78.37 	    338.33 
	    737.58 	    -97.37 	      0.45 	      1.93 	     78.47 	    338.39 
	    744.43 	    -97.28 	      0.45 	      1.93 	     78.58 	    338.44 
	    751.35 	    -97.19 	      0.45 	      1.93 	     78.69 	    338.49 
	    758.34 	    -97.10 	      0.46 	      1.93 	     78.79 	    338.54 
	    765.39 	    -97.01 	      0.46 	      1.93 	     78.90 	    338.60 
	    772.50 	    -96.92 	      0.46 	      1.93 	     79.01 	    338.65 
	    779.68 	    -96.83 	      0.46 	      1.93 	     79.11 	    338.70 
	    786.93 	    -96.74 	      0.46 	      1.93 	     79.22 	    338.76 
	    794.24 	    -96.65 	      0.46 	      1.93 	     79.33 	    338.81 
	    801.62 	    -96.56 	      0.46 	      1.93 	     79.43 	    338.86 
	    809.07 	    -96.47 	      0.46 	      1.93 	     79.54 	    338.92 
	    816.59 	    -96.38 	      0.46 	      1.93 	     79.65 	    338.97 
	    824.18 	    -96.29 	      0.46 	      1.93 	     79.76 	    339.02 
	    831.84 	    -96.20 	      0.46 	      1.93 	     79.86 	    339.08 
	    839.57 	    -96.11 	      0.46 	      1.93 	     79.97 	    339.13 
	    847.38 	    -96.02 	      0.46 	      1.93 	     80.08 	    339.18 
	    855.25 	    -95.93 	      0.46 	      1.92 	     80.19 	    339.24 
	    863.20 	    -95.84 	      0.46 	      1.92 	     80.30 	    339.29 
	    871.22 	    -95.74 	      0.46 	      1.92 	     80.40 	    339.34 
	    879.32 	    -95.65 	      0.46 	      1.92 	     80.51 	    339.40 
	    887.49 	    -95.56 	      0.47 	      1.92 	     80.62 	    339.45 
	    895.74 	    -95.47 	      0.47 	      1.92 	     80.73 	    339.51 
	    904.07 	    -95.38 	      0.47 	      1.92 	     80.84 	    339.56 
	    912.47 	    -95.29 	      0.47 	      1.92 	     80.95 	    339.62 
	    920.95 	    -95.19 	      0.47 	      1.92 	     81.06 	    339.67 
	    929.51 	    -95.10 	      0.47 	      1.92 	     81.17 	    339.72 
	    938.15 	    -95.01 	      0.47 	      1.92 	     81.28 	    339.78 
	    946.87 	    -94.92 	      0.47 	      1.92 	     81.39 	    339.83 
	    955.67 	    -94.82 	      0.47 	      1.92 	     81.50 	    339.89 
	    964.55 	    -94.73 	      0.47 	      1.92 	     81.61 	    339.94 
	    973.52 	    -94.64 	      0.47 	      1.92 	     81.72 	    340.00 
	    982.56 	    -94.55 	      0.47 	      1.92 	     81.83 	    340.05 
	    991.70 	    -94.45 	      0.47 	      1.92 	     81.94 	    340.11 
	   1000.91 	    -94.36 	      0.47 	      1.92 	     82.05 	    340.16 
	   1010.22 	    -94.27 	      0.47 	      1.92 	     82.16 	    340.22 
	   1019.61 	    -94.17 	      0.47 	      1.92 	     82.27 	    340.27 
	   1029.08 	    -94.08 	      0.48 	      1.92 	     82.38 	    340.33 
	   1038.65 	    -93.99 	      0.48 	      1.92 	     82.49 	    340.38 
	   1048.30 	    -93.89 	      0.48 	      1.91 	     82.60 	    340.44 
	   1058.04 	    -93.80 	      0.48 	      1.91 	     82.71 	    340.50 
	   1067.88 	    -93.70 	      0.48 	      1.91 	     82.83 	    340.55 
	   1077.80 	    -93.61 	      0.48 	      1.91 	     82.94 	    340.61 
	   1087.82 	    -93.52 	      0.48 	      1.91 	     83.05 	    340.66 
	   1097.93 	    -93.42 	      0.48 	      1.91 	     83.16 	    340.72 
	   1108.14 	    -93.33 	      0.48 	      1.91 	     83.27 	    340.77 
	   1118.44 	    -93.23 	      0.48 	      1.91 	     83.38 	    340.83 
	   1128.83 	    -93.14 	      0.48 	      1.91 	     83.50 	    340.89 
	   1139.32 	    -93.04 	      0.48 	      1.91 	     83.61 	    340.94 
	   1149.91 	    -92.95 	      0.48 	      1.91 	     83.72 	    341.00 
	   1160.60 	    -92.85 	      0.48 	      1.91 	     83.84 	    341.06 
	   1171.39 	    -92.76 	      0.48 	      1.91 	     83.95 	    341.11 
	   1182.27 	    -92.66 	      0.48 	      1.91 	     84.06 	    341.17 
	   1193.26 	    -92.57 	      0.49 	      1.91 	     84.17 	    341.23 
	   1204.35 	    -92.47 	      0.49 	      1.91 	     84.29 	    341.28 
	   1215.55 	    -92.38 	      0.49 	      1.91 	     84.40 	    341.34 
	   1226.84 	    -92.28 	      0.49 	      1.91 	     84.52 	    341.40 
	   1238.25 	    -92.18 	      0.49 	      1.91 	     84.63 	    341.45 
	   1249.75 	    -92.09 	      0.49 	      1.91 	     84.74 	    341.51 
	   1261.37 	    -91.99 	      0.49 	      1.91 	     84.86 	    341.57 
	   1273.09 	    -91.90 	      0.49 	      1.91 	     84.97 	    341.63 
	   1284.93 	    -91.80 	      0.49 	      1.91 	     85.09 	    341.68 
	   1296.87 	    -91.70 	      0.49 	      1.90 	     85.20 	    341.74 
	   1308.92 	    -91.61 	      0.49 	      1.90 	     85.32 	    341.80 
	   1321.09 	    -91.51 	      0.49 	      1.90 	     85.43 	    341.86 
	   1333.37 	    -91.41 	      0.49 	      1.90 	     85.55 	    341.91 
	   1345.76 	    -91.32 	      0.49 	      1.90 	     85.66 	    341.97 
	   1358.27 	    -91.22 	      0.49 	      1.90 	     85.78 	    342.03 
	   1370.89 	    -91.12 	      0.49 	      1.90 	     85.89 	    342.09 
	   1383.63 	    -91.02 	      0.50 	      1.90 	     86.01 	    342.15 
	   1396.49 	    -90.93 	      0.50 	      1.90 	     86.12 	    342.20 
	   1409.47 	    -90.83 	      0.50 	      1.90 	     86.24 	    342.26 
	   1422.57 	    -90.73 	      0.50 	      1.90 	     86.36 	    342.32 
	   1435.79 	    -90.63 	      0.50 	      1.90 	     86.47 	    342.38 
	   1449.14 	    -90.54 	      0.50 	      1.90 	     86.59 	    342.44 
	   1462.61 	    -90.44 	      0.50 	      1.90 	     86.70 	    342.50 
	   1476.20 	    -90.34 	      0.50 	      1.90 	     86.82 	    342.56 
	   1489.92 	    -90.24 	      0.50 	      1.90 	     86.94 	    342.61 
	   1503.77 	    -90.14 	      0.50 	      1.90 	     87.06 	    342.67 
	   1517.75 	    -90.04 	      0.50 	      1.90 	     87.17 	    342.73 
	   1531.85 	    -89.95 	      0.50 	      1.90 	     87.29 	    342.79 
	   1546.09 	    -89.85 	      0.50 	      1.90 	     87.41 	    342.85 
	   1560.46 	    -89.75 	      0.50 	      1.90 	     87.53 	    342.91 
	   1574.96 	    -89.65 	      0.50 	      1.90 	     87.64 	    342.97 
	   1589.60 	    -89.55 	      0.50 	      1.90 	     87.76 	    343.03 
	   1604.38 	    -89.45 	      0.51 	      1.89 	     87.88 	    343.09 
	   1619.29 	    -89.35 	      0.51 	      1.89 	     88.00 	    343.15 
	   1634.34 	    -89.25 	      0.51 	      1.89 	     88.12 	    343.21 
	   1649.53 	    -89.15 	      0.51 	      1.89 	     88.24 	    343.27 
	   1664.86 	    -89.05 	      0.51 	      1.89 	     88.35 	    343.33 
	   1680.33 	    -88.95 	      0.51 	      1.89 	     88.47 	    343.39 
	   1695.95 	    -88.85 	      0.51 	      1.89 	     88.59 	    343.45 
	   1711.71 	    -88.75 	      0.51 	      1.89 	     88.71 	    343.51 
	   1727.62 	    -88.65 	      0.51 	      1.89 	     88.83 	    343.57 
	   1743.68 	    -88.55 	      0.51 	      1.89 	     88.95 	    343.63 
	   1759.89 	    -88.45 	      0.51 	      1.89 	     89.07 	    343.69 
	   1776.24 	    -88.35 	      0.51 	      1.89 	     89.19 	    343.75 
	   1792.75 	    -88.25 	      0.51 	      1.89 	     89.31 	    343.81 
	   1809.41 	    -88.15 	      0.51 	      1.89 	     89.43 	    343.87 
	   1826.23 	    -88.05 	      0.51 	      1.89 	     89.55 	    343.93 
	   1843.20 	    -87.94 	      0.52 	      1.89 	     89.67 	    343.99 
	   1860.34 	    -87.84 	      0.52 	      1.89 	     89.79 	    344.06 
	   1877.63 	    -87.74 	      0.52 	      1.89 	     89.91 	    344.12 
	   1895.08 	    -87.64 	      0.52 	      1.89 	     90.04 	    344.18 
	   1912.69 	    -87.54 	      0.52 	      1.89 	     90.16 	    344.24 
	   1930.47 	    -87.44 	      0.52 	      1.89 	     90.28 	    344.30 
	   1948.41 	    -87.33 	      0.52 	      1.89 	     90.40 	    344.36 
	   1966.52 	    -87.23 	      0.52 	      1.89 	     90.52 	    344.42 
	   1984.80 	    -87.13 	      0.52 	      1.89 	     90.64 	    344.49 
	   2003.24 	    -87.03 	      0.52 	      1.88 	     90.77 	    344.55 
	   2021.86 	    -86.92 	      0.52 	      1.88 	     90.89 	    344.61 
	   2040.66 	    -86.82 	      0.52 	      1.88 	     91.01 	    344.67 
	   2059.62 	    -86.72 	      0.52 	      1.88 	     91.13 	    344.73 
	   2078.76 	    -86.61 	      0.52 	      1.88 	     91.26 	    344.80 
	   2098.09 	    -86.51 	      0.52 	      1.88 	     91.38 	    344.86 
	   2117.59 	    -86.41 	      0.53 	      1.88 	     91.50 	    344.92 
	   2137.27 	    -86.30 	      0.53 	      1.88 	     91.63 	    344.98 
	   2157.13 	    -86.20 	      0.53 	      1.88 	     91.75 	    345.05 
	   2177.18 	    -86.10 	      0.53 	      1.88 	     91.87 	    345.11 
	   2197.42 	    -85.99 	      0.53 	      1.88 	     92.00 	    345.17 
	   2217.84 	    -85.89 	      0.53 	      1.88 	     92.12 	    345.24 
	   2238.45 	    -85.78 	      0.53 	      1.88 	     92.25 	    345.30 
	   2259.26 	    -85.68 	      0.53 	      1.88 	     92.37 	    345.36 
	   2280.26 	    -85.58 	      0.53 	      1.88 	     92.49 	    345.43 
	   2301.45 	    -85.47 	      0.53 	      1.88 	     92.62 	    345.49 
	   2322.84 	    -85.37 	      0.53 	      1.88 	     92.74 	    345.55 
	   2344.43 	    -85.26 	      0.53 	      1.88 	     92.87 	    345.62 
	   2366.22 	    -85.16 	      0.53 	      1.88 	     93.00 	    345.68 
	   2388.21 	    -85.05 	      0.53 	      1.88 	     93.12 	    345.74 
	   2410.41 	    -84.95 	      0.53 	      1.88 	     93.25 	    345.81 
	   2432.81 	    -84.84 	      0.54 	      1.88 	     93.37 	    345.87 
	   2455.42 	    -84.74 	      0.54 	      1.88 	     93.50 	    345.94 
	   2478.24 	    -84.63 	      0.54 	      1.88 	     93.62 	    346.00 
	   2501.28 	    -84.52 	      0.54 	      1.87 	     93.75 	    346.06 
	   2524.52 	    -84.42 	      0.54 	      1.87 	     93.88 	    346.13 
	   2547.99 	    -84.31 	      0.54 	      1.87 	     94.00 	    346.19 
	   2571.67 	    -84.20 	      0.54 	      1.87 	     94.13 	    346.26 
	   2595.57 	    -84.10 	      0.54 	      1.87 	     94.26 	    346.32 
	   2619.70 	    -83.99 	      0.54 	      1.87 	     94.39 	    346.39 
	   2644.04 	    -83.89 	      0.54 	      1.87 	     94.51 	    346.45 
	   2668.62 	    -83.78 	      0.54 	      1.87 	     94.64 	    346.52 
	   2693.42 	    -83.67 	      0.54 	      1.87 	     94.77 	    346.58 
	   2718.46 	    -83.56 	      0.54 	      1.87 	     94.90 	    346.65 
	   2743.72 	    -83.46 	      0.54 	      1.87 	     95.02 	    346.71 
	   2769.22 	    -83.35 	      0.54 	      1.87 	     95.15 	    346.78 
	   2794.96 	    -83.24 	      0.55 	      1.87 	     95.28 	    346.84 
	   2820.94 	    -83.13 	      0.55 	      1.87 	     95.41 	    346.91 
	   2847.16 	    -83.03 	      0.55 	      1.87 	     95.54 	    346.97 
	   2873.62 	    -82.92 	      0.55 	      1.87 	     95.67 	    347.04 
	   2900.33 	    -82.81 	      0.55 	      1.87 	     95.80 	    347.11 
	   2927.28 	    -82.70 	      0.55 	      1.87 	     95.93 	    347.17 
	   2954.49 	    -82.59 	      0.55 	      1.87 	     96.06 	    347.24 
	   2981.95 	    -82.48 	      0.55 	      1.87 	     96.19 	    347.31 
	   3009.67 	    -82.38 	      0.55 	      1.87 	     96.32 	    347.37 
	   3037.64 	    -82.27 	      0.55 	      1.87 	     96.45 	    347.44 
	   3065.87 	    -82.16 	      0.55 	      1.87 	     96.58 	    347.50 
	   3094.37 	    -82.05 	      0.55 	      1.87 	     96.71 	    347.57 
	   3123.13 	    -81.94 	      0.55 	      1.86 	     96.84 	    347.64 
	   3152.15 	    -81.83 	      0.55 	      1.86 	     96.97 	    347.71 
	   3181.45 	    -81.72 	      0.55 	      1.86 	     97.10 	    347.77 
	   3211.02 	    -81.61 	      0.56 	      1.86 	     97.23 	    347.84 
	   3240.87 	    -81.50 	      0.56 	      1.86 	     97.36 	    347.91 
	   3270.99 	    -81.39 	      0.56 	      1.86 	     97.50 	    347.97 
	   3301.39 	    -81.28 	      0.56 	      1.86 	     97.63 	    348.04 
	   3332.07 	    -81.17 	      0.56 	      1.86 	     97.76 	    348.11 
	   3363.04 	    -81.06 	      0.56 	      1.86 	     97.89 	    348.18 
	   3394.30 	    -80.95 	      0.56 	      1.86 	     98.03 	    348.24 
	   3425.85 	    -80.84 	      0.56 	      1.86 	     98.16 	    348.31 
	   3457.69 	    -80.73 	      0.56 	      1.86 	     98.29 	    348.38 
	   3489.82 	    -80.61 	      0.56 	      1.86 	     98.42 	    348.45 
	   3522.26 	    -80.50 	      0.56 	      1.86 	     98.56 	    348.52 
	   3555.00 	    -80.39 	      0.56 	      1.86 	     98.69 	    348.59 
	   3588.04 	    -80.28 	      0.56 	      1.86 	     98.83 	    348.65 
	   3621.39 	    -80.17 	      0.56 	      1.86 	     98.96 	    348.72 
	   3655.04 	    -80.06 	      0.57 	      1.86 	     99.09 	    348.79 
	   3689.02 	    -79.94 	      0.57 	      1.86 	     99.23 	    348.86 
	   3723.30 	    -79.83 	      0.57 	      1.86 	     99.36 	    348.93 
	   3757.91 	    -79.72 	      0.57 	      1.86 	     99.50 	    349.00 
	   3792.84 	    -79.61 	      0.57 	      1.86 	     99.63 	    349.07 
	   3828.09 	    -79.49 	      0.57 	      1.86 	     99.77 	    349.14 
	   3863.67 	    -79.38 	      0.57 	      1.86 	     99.90 	    349.21 
	   3899.58 	    -79.27 	      0.57 	      1.86 	    100.04 	    349.28 
	   3935.82 	    -79.15 	      0.57 	      1.86 	    100.17 	    349.35 
	   3972.40 	    -79.04 	      0.57 	      1.85 	    100.31 	    349.41 
	   4009.32 	    -78.93 	      0.57 	      1.85 	    100.45 	    349.48 
